Text|Chapter
Can only be tackled when they are easy.|63
Big things of the world|63
Can only be achieved by attending to their small beginnings.|63
Thus, the Sage never has to grapple with big things,|63
Yet he alone is capable of achieving them!|63
He who promises lightly must be lacking in faith.|63
He who thinks everything easy will end by finding everything difficult.|63
Therefore, the Sage, who regards everything as difficult,|63
Meets with no difficulties in the end.|63
WHAT is at rest is easy to hold.|64
What manifests no omens is easily forestalled.|64
What is fragile is easily shattered.|64
What is small is easily scattered.|64
Tackle things before they have appeared.|64
Cultivate peace and order before confusion and disorder have set in.|64
A tree as big as a man's embrace springs from a tiny sprout.|64
A tower nine stories high begins with a heap of earth.|64
A journey of a thousand leagues starts from where your feet stand.|64
He who fusses over anything spoils it.|64
He who grasps anything loses it.|64
The Sage fusses over nothing and therefore spoils nothing.|64
He grips at nothing and therefore loses nothing.|64
In handling affairs, people often spoil them just at the point of success.|64
With heedfulness in the beginning and patience at the end, nothing will be spoiled.|64
Therefore, the Sage desires to be desireless,|64
Sets no value on rare goods,|64
Learns to unlearn his learning,|64
And induces the masses to return from where they have overpassed.|64
He only helps all creatures to find their own nature,|64
But does not venture to lead them by the nose.|64
IN the old days, those who were well versed in the|65
practice of the Tao did not try to enlighten the|65
people, but rather to keep them in the state of simplicity.|65
For, why are the people hard to govern? Because they|65
are too clever! Therefore, he who governs his state|65
with cleverness is its malefactor; but he who governs|65
his state without resorting to cleverness is its|65
benefactor. To know these principles is to possess a|65
rule and a measure. To keep the rule and the measure|65
constantly in your mind is what we call Mystical|65
Virtue. Deep and far-reaching is Mystical Virtue! It|65
leads all things to return, till they come back to Great|65
Harmony!|65
HOW does the sea become the king of all streams?|66
Because it lies lower than they!|66
Hence it is the king of all streams.|66
Therefore, the Sage reigns over the people by humbling himself in speech;|66
And leads the people by putting himself behind.|66
Thus it is that when a Sage stands above the people, they do not feel the heaviness of his weight;|66
And when he stands in front of the people, they do not feel hurt.|66
Therefore all the world is glad to push him forward without getting tired of him.|66
Just because he strives with nobody,|66
Nobody can ever strive with him.|66
ALL the world says that my Tao is great, but seems|67
queer, like nothing on earth. But it is just because|67
my Tao is great that it is like nothing on earth! If it were|67
like anything on earth, how small it would have been|67
from the very beginning!|67
I have Three Treasures, which I hold fast and watch|67
over closely. The first is Mercy. The second is Frugality.|67
The third is Not Daring to Be First in the World. Because|67
I am merciful, therefore I can be brave. Because I am|67
frugal, therefore I can be generous. Because I dare not|67
be first, therefore I can be the chief of all vessels.|67
If a man wants to be brave without first being|67
merciful, generous without first being frugal, a leader|67
without first wishing to follow, he is only courting|67
death!|67
Mercy alone can help you to win a war. Mercy alone|67
can help you to defend your state. For Heaven will|67
come to the rescue of the merciful, and protect him|67
with its Mercy.|67
A GOOD soldier is never aggressive;|68
A good fighter is never angry.|68
The best way of conquering an enemy|68
Is to win him over by not antagonising him.|68
The best way of employing a man|68
Is to serve under him.|68
This is called the virtue of non-striving!|68
This is called using the abilities of men!|68
This is called being wedded to Heaven as of old!|68
THE strategists have a saying: I dare not be a host, but rather a guest; I dare not advance an inch, but rather retreat a foot.|69
This is called marching without moving,|69
Rolling up one's sleeves without baring one's arms,|69
Capturing the enemy without confronting him,|69
Holding a weapon that is invisible.|69
There is no greater calamity than to under-estimate the strength of your enemy.|69
For to under-estimate the strength of your enemy is to lose your treasure.|69
Therefore, when opposing troops meet in battle, victory belongs to the grieving side.|69
MY words are very easy to understand, and very easy to practise:|70
But the world cannot understand them, nor practise them.|70
My words have an Ancestor.|70
My deeds have a Lord.|70
The people have no knowledge of this.|70
Therefore, they have no knowledge of me.|70
The fewer persons know me,|70
The nobler are they that follow me.|70
Therefore, the Sage wears coarse clothes,|70
While keeping the jade in his bosom.|70
To realize that our knowledge is ignorance,|71
This is a noble insight.|71
To regard our ignorance as knowledge,|71
This is mental sickness.|71
Only when we are sick of our sickness|71
Shall we cease to be sick.|71
The Sage is not sick, being sick of sickness;|71
This is the secret of health.|71
WHEN the people no longer fear your power,|72
It is a sign that a greater power is coming.|72
Interfere not lightly vith their dwelling,|72
Nor lay heavy burdens upon their livelihood.|72
Only when you cease to weary them,|72
They will cease to be wearied of you.|72
Therefore, the Sage knows himself,|72
But makes no show of himself,|72
Loves himself,|72
But does not exalt himself.|72
He prefers what is within to what is without.|72
HE who is brave in daring will be killed;|73
He who is brave in not daring will survive.|73
Of these two kinds of bravery, one is beneficial, while the other proves harmful.|73
Some things are detested by Heaven,|73
But who knows the reason?|73
Even the Sage is baffled by such a question.|73
It is Heaven's Way to conquer without striving,|73
To get responses without speaking,|73
To induce the people to come without summoning,|73
To act according to plans without haste.|73
Vast is Heaven's net;|73
Sparse-meshed it is, and yet|73
Nothing can slip through it.|73
WHEN the people are no longer afraid of death,|74
Why scare them with the spectre of death?|74
If you could make the people always afraid of death,|74
And they still persisted in breaking the law,|74
Then you might with reason arrest and execute them,|74
And who would dare to break the law?|74
Is not the Great Executor always there to kill?|74
To do the killing for the Great Executor|74
Is to chop wood for a master carpenter,|74
And you would be lucky indeed if you did not hurt your own hand!|74
WHY are the people starving?|75
Because those above them are taxing them too heavily.|75
That is why they are starving.|75
Why are the people hard to manage?|75
Because those above them are fussy and have private ends to serve.|75
That is why they are hard to manage.|75
Why do the people make light of death?|75
Because those above them make too much of life.|75
That is why they make light of death.|75
The people have simply nothing to live upon!|75
They know better than to value such a life!|75
WHEN a man is living, he is soft and supple.|76
When he is dead, he becomes hard and rigid.|76
When a plant is living, it is soft and tender.|76
When it is dead, it becomes withered and dry.|76
Hence, the hard and rigid belongs to the company of the dead:|76
The soft and supple belongs to the company of the living.|76
Therefore, a mighty army tends to fall by its own weight,|76
Just as dry wood is ready for the axe.|76
The mighty and great will be laid low;|76
The humbie and weak will be exalted.|76
PERHAPS the Way of Heaven may be likened to the|77
stretching of a composite bow! The upper part is|77
depressed, while the lower is raised. If the bow-string is|77
too long, it is cut short: if too short, it is added to.|77
The Way of Heaven diminishes the more-than-|77
enough to supply the less-than-enough. The way of|77
man is different: it takes from the less-than-enough to|77
swell the more-than-enough. Who except a man of|77
the Tao can put his superabundant riches to the|77
service of the world?|77
Therefore, the Sage does his work without setting|77
any store by it, accomplishes his task without dwelling|77
upon it. He does not want his merits to be seen.|77
NOTHING in the world is softer and weaker than water;|78
But, for attacking the hard and strong, there is nothing like it!|78
For nothing can take its place.|78
That the weak overcomes the strong, and the soft overcomes the hard,|78
This is something known by all, but practised by none.|78
Therefore, the Sage says:|78
To receive the dirt of a country is to be the lord of its soil-shrines.|78
To bear the calamities of a country is to be the prince of the world.|78
Indeed, Truth sounds like its opposite!|78
WHEN a great wound is healed,|79
There will still remain a scar.|79
Can this be a desirable state of affairs?|79
Therefore, the Sage, holding the left-hand tally,|79
Performs his part of the covenant,|79
But lays no claims upon others.|79
The virtuous attends to his duties;|79
The virtueless knows only to levy duties upon the people. The Way of Heaven has no private affections,|79
But always accords with the good.|79
AH, for a small country with a small population!|80
Though there are highly efficient mechanical|80
contrivances, the people have no use for them. Let them|80
mind death and refrain from migrating to distant places.|80
Boats and carriages, weapons and armour there may still|80
be, but there are no occasions for using or displaying|80
them. Let the people revert to communication by|80
knotting cords. See to it that they are contented with|80
their food, pleased with their clothing, satisfied with|80
their houses, and inured to their simple ways of living.|80
Though there may be another country in the|80
neighbourhood so close that they are within sight of|80
each other and the crowing of cocks and barking of dogs|80
in one place can be heard in the other, yet there is no|80
traffic between them, and throughout their lives the two|80
peoples have nothing to do with each other.|80
SINCERE words are not sweet,|81
Sweet words are not sincere.|81
Good men are not argumentative,|81
The argumentative are not good.|81
The wise are not erudite,|81
The erudite are not wise.|81
The Sage does not take to hoarding.|81
The more he lives for others, the fuller is his life.|81
The more he gives, the more he abounds.|81
The Way of Heaven is to benefit, not to harm.|81
The Way of the Sage is to do his duty, not to strive with anyone.|81
