Text|Chapter
The sage works without expectation.|77
Achieves without taking credit.|77
He does not desire to seem worthy.|77
In all the world nothing is softer and weaker than water.|78
Yet for overcoming the hard and strong it is unequaled.|78
The pliant overcomes the unbending.|78
The submissive overcomes the unyielding.|78
Everyone knows this but no one puts it into practice.|78
Therefore the sage says:|78
He who takes on the suffering of the world is fit to rule it.|78
One who accepts the evils of the world as his own|78
is a king under heaven.|78
Truth is often a paradox.|78
When bitter quarrels are settled,|79
enmity is sure to remain.|79
What can be done?|79
A man of virtue pays his debts|79
but does not exact his due.|79
He fulfills his obligations|79
but makes no demands.|79
The Tao of heaven plays no favorites.|79
It flows with Virtue.|79
Let the state be small.|80
Let the people be few.|80
Though they have equipment to arm ten battalions|80
they do not do it.|80
They take death seriously and do not venture far.|80
They have ships and carts|80
but there is no place they want to go.|80
They have armor and weapons|80
but they are not displayed.|80
Men return to knotting rope.|80
They enjoy their meals and are comfortable in their clothes.|80
They are content in their homes and happy with their lives.|80
Though the neighboring state is so close|80
you can hear the cocks and dogs,|80
they leave each other in peace as they grow old and die.|80
Truth is not eloquent.|81
Eloquence is not truth.|81
Wise men do not try to persuade.|81
Whoever tries to persuade is not wise.|81
One who knows, claims unknowing.|81
One who claims knowledge, does not know.|81
The sage does not acquire.|81
He bestows what he has on others|81
and always has more.|81
The more he gives, the greater his abundance.|81
The way of heaven is to give without harm.|81
The way of the sage is to serve without striving.|81
